 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter   109 lrate =  1.0000000000 LL =  -3.4104609629 nd =  0.0022818887, D =   0.37256E-01  0.37256E-01  (  0.04 s,   0.0 h)
 iter   110 lrate =  1.0000000000 LL =  -3.4102642802 nd =  0.0022659828, D =   0.37427E-01  0.37427E-01  (  0.04 s,   0.0 h)
 iter   111 lrate =  1.0000000000 LL =  -3.4100680752 nd =  0.0022475316, D =   0.37608E-01  0.37608E-01  (  0.03 s,   0.0 h)
 iter   112 lrate =  1.0000000000 LL =  -3.4098742783 nd =  0.0022285479, D =   0.37784E-01  0.37784E-01  (  0.02 s,   0.0 h)
 iter   113 lrate =  1.0000000000 LL =  -3.4096823533 nd =  0.0022110499, D =   0.37949E-01  0.37949E-01  (  0.02 s,   0.0 h)
 iter   114 lrate =  1.0000000000 LL =  -3.4094925902 nd =  0.0021965118, D =   0.38114E-01  0.38114E-01  (  0.02 s,   0.0 h)
 iter   115 lrate =  1.0000000000 LL =  -3.4093051798 nd =  0.0021775341, D =   0.38276E-01  0.38276E-01  (  0.02 s,   0.0 h)
 iter   116 lrate =  1.0000000000 LL =  -3.4091200487 nd =  0.0021461279, D =   0.38429E-01  0.38429E-01  (  0.02 s,   0.0 h)
 iter   117 lrate =  1.0000000000 LL =  -3.4089395537 nd =  0.0021151331, D =   0.38568E-01  0.38568E-01  (  0.02 s,   0.0 h)
 iter   118 lrate =  1.0000000000 LL =  -3.4087643360 nd =  0.0020910009, D =   0.38713E-01  0.38713E-01  (  0.02 s,   0.0 h)
 iter   119 lrate =  1.0000000000 LL =  -3.4085913530 nd =  0.0020550113, D =   0.38873E-01  0.38873E-01  (  0.02 s,   0.0 h)
 iter   120 lrate =  1.0000000000 LL =  -3.4084232700 nd =  0.0020265273, D =   0.39036E-01  0.39036E-01  (  0.02 s,   0.0 h)
 iter   121 lrate =  1.0000000000 LL =  -3.4082598441 nd =  0.0019950282, D =   0.39201E-01  0.39201E-01  (  0.12 s,   0.1 h)
 iter   122 lrate =  1.0000000000 LL =  -3.4081019043 nd =  0.0019553569, D =   0.39372E-01  0.39372E-01  (  0.03 s,   0.0 h)
 iter   123 lrate =  1.0000000000 LL =  -3.4079479984 nd =  0.0019158657, D =   0.39531E-01  0.39531E-01  (  0.04 s,   0.0 h)
 iter   124 lrate =  1.0000000000 LL =  -3.4077999905 nd =  0.0018784853, D =   0.39677E-01  0.39677E-01  (  0.03 s,   0.0 h)
 iter   125 lrate =  1.0000000000 LL =  -3.4076572153 nd =  0.0018392405, D =   0.39830E-01  0.39830E-01  (  0.02 s,   0.0 h)
 iter   126 lrate =  1.0000000000 LL =  -3.4075193079 nd =  0.0017974863, D =   0.39982E-01  0.39982E-01  (  0.02 s,   0.0 h)
 iter   127 lrate =  1.0000000000 LL =  -3.4073861454 nd =  0.0017588929, D =   0.40125E-01  0.40125E-01  (  0.02 s,   0.0 h)
 iter   128 lrate =  1.0000000000 LL =  -3.4072578184 nd =  0.0017264012, D =   0.40255E-01  0.40255E-01  (  0.02 s,   0.0 h)
 iter   129 lrate =  1.0000000000 LL =  -3.4071342476 nd =  0.0016951979, D =   0.40387E-01  0.40387E-01  (  0.04 s,   0.0 h)
 iter   130 lrate =  1.0000000000 LL =  -3.4070113884 nd =  0.0016747358, D =   0.40506E-01  0.40506E-01  (  0.04 s,   0.0 h)
 iter   131 lrate =  1.0000000000 LL =  -3.4068901381 nd =  0.0016596208, D =   0.40617E-01  0.40617E-01  (  0.02 s,   0.0 h)
 iter   132 lrate =  1.0000000000 LL =  -3.4067697004 nd =  0.0016493454, D =   0.40734E-01  0.40734E-01  (  0.02 s,   0.0 h)
